Time (s),Li-Ion Voltage (mV),LiPo Voltage (mV)
38340,3581.2,
38400,3581.3,
38460,3582.516666666667,
38520,3579.2833333333333,
38580,3578.8333333333335,
38640,3581.2833333333333,
38700,3578.6,
38760,3576.266666666667,
38820,3574.6,
38880,3574.6,
38940,3575.8166666666666,
39000,3574.3333333333335,
39060,3572.25,
39120,3571.2166666666667,
39180,3571.1666666666665,
39240,3569.45,
39300,3567.65,
39360,3571.616666666667,
39420,3567.983333333333,
39480,3568.45,
39540,3568.8166666666666,
39600,3567.233333333333,
39660,3563.85,
39720,3563.6666666666665,
39780,3564.1833333333334,
39840,3563.766666666667,
39900,3561.3166666666666,
39960,3561.4166666666665,
40020,3560.383333333333,
40080,3561.8,
40140,3558.65,
40200,3558.9666666666667,
40260,3556.8,
40320,3556.65,
40380,3556.116666666667,
40440,3556.516666666667,
40500,3552.7833333333333,
40560,3552.516666666667,
40620,3550.633333333333,
40680,3550.6833333333334,
40740,3554.266666666667,
40800,3550.05,
40860,3548.95,
40920,3546.2833333333333,
40980,3545.2833333333333,
41040,3543.766666666667,
41100,3543.766666666667,
41160,3541.266666666667,
41220,3540.266666666667,
41280,3538.4333333333334,
41340,3539.0,
41400,3539.5666666666666,
41460,3536.0,
41520,3538.7833333333333,
41580,3537.5833333333335,
41640,3536.2833333333333,
41700,3532.65,
41760,3534.65,
41820,3531.733333333333,
41880,3527.9166666666665,
41940,3530.5,
42000,3529.6833333333334,
42060,3528.133333333333,
42120,3527.9666666666667,
42180,3523.8,
42240,3525.65,
42300,3524.5,
42360,3526.116666666667,
42420,3519.85,
42480,3520.266666666667,
42540,3518.983333333333,
42600,3517.25,
42660,3516.9166666666665,
42720,3516.95,
42780,3518.15,
42840,3514.733333333333,
42900,3511.0333333333333,
42960,3512.383333333333,
43020,3508.6666666666665,
43080,3509.516666666667,
43140,3508.05,
43200,3509.1,
43260,3507.5333333333333,
43320,3507.983333333333,
43380,3505.516666666667,
43440,3503.616666666667,
43500,3500.6666666666665,
43560,3498.016666666667,
43620,3499.4,
43680,3497.4333333333334,
43740,3498.2833333333333,
43800,3498.7833333333333,
43860,3495.616666666667,
43920,3494.25,
43980,3494.5333333333333,
44040,3490.2166666666667,
44100,3491.9333333333334,
44160,3490.5666666666666,
44220,3489.5,
44280,3488.05,
44340,3489.9666666666667,
44400,3487.4166666666665,
44460,3486.6,
44520,3487.75,
44580,3486.6666666666665,
44640,3485.9,
44700,3484.016666666667,
44760,3482.9333333333334,
44820,3482.516666666667,
44880,3479.55,
44940,3478.4666666666667,
45000,3481.5833333333335,
45060,3480.05,
45120,3479.25,
45180,3478.9666666666667,
45240,3476.766666666667,
45300,3475.8,
45360,3475.55,
45420,3475.233333333333,
45480,3472.8,
45540,3473.1833333333334,
45600,3474.5833333333335,
45660,3471.866666666667,
45720,3472.6833333333334,
45780,3472.766666666667,
45840,3471.2,
45900,3470.0666666666666,
45960,3470.883333333333,
46020,3467.5333333333333,
46080,3467.3,
46140,3468.616666666667,
46200,3467.8166666666666,
46260,3463.95,
46320,3465.266666666667,
46380,3463.983333333333,
46440,3462.866666666667,
46500,3463.0833333333335,
46560,3459.8166666666666,
46620,3458.9666666666667,
46680,3461.383333333333,
46740,3460.6,
46800,3458.25,
46860,3457.25,
46920,3455.1666666666665,
46980,3457.45,
47040,3454.85,
47100,3450.766666666667,
47160,3451.35,
47220,3448.75,
47280,3448.4333333333334,
47340,3448.0,
47400,3447.6666666666665,
47460,3445.25,
47520,3445.1,
47580,3442.5833333333335,
47640,3441.65,
47700,3440.8333333333335,
47760,3437.6666666666665,
47820,3433.016666666667,
47880,3433.35,
47940,3431.65,
48000,3429.483333333333,
48060,3427.0833333333335,
48120,3422.616666666667,
48180,3421.133333333333,
48240,3418.016666666667,
48300,3414.9166666666665,
48360,3411.0666666666666,
48420,3409.7,
48480,3402.7,
48540,3401.866666666667,
48600,3397.15,
48660,3393.4333333333334,
48720,3389.9666666666667,
48780,3384.3,
48840,3379.4333333333334,
